8;Конструкции железобетонные. Цокольные панели;65-ХСА-1/24;8;КЖ;2;A;65-ХСА-1/24-КЖ2-А;;;;;;;;;;;;;;30.04.2025;Загружен, старая версия;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия
Изм.1 - КРП прислал 15.06.25
Изм.2 - КРП прислал 18.02.26";"26.05.25
16.06.25 - Изм.1
18.02.26 - Изм.2";"27.11.25 - Изм.1 - эл. версия - СВ
18.02.26 - Изм.2 - эл. версия - СВ
30.03.26 - Изм.2 - эл.версия - ГК ЩИТ"
9;Конструкции железобетонные. Цокольные панели. Изделия;65-ХСА-1/24;9;КЖ.И;2;A;65-ХСА-1/24-КЖ2.И-А;;;;;;;;;;;;;;30.04.2025;Загружен, старая версия;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия
Изм.1 - КРП прислал 15.06.25";"27.05.25
16.06.25 - Изм.1";17.10.25 - бум.версия - ЖилСтройСити
10;Конструкции железобетонные. Доклевеллеры;65-ХСА-1/24;10;КЖ;3;A;65-ХСА-1/24-КЖ3-А;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия";20.05.2025;"27.11.25 - эл. версия - СВ
30.03.26 - эл.версия - ГК ЩИТ"
11;Конструкции железобетонные. Доклевеллеры. Изделия;65-ХСА-1/24;11;КЖ.И;3;A;65-ХСА-1/24-КЖ3.И-А;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия";20.05.2025;17.10.25 - бум.версия - ЖилСтройСити
12;Конструкции железобетонные. Колонны;65-ХСА-1/24;12;КЖ;4;A;65-ХСА-1/24-КЖ4-А;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия
Изм.1 - КРП выдал 13.03.26";"20.05.2025
16.03.26 - Изм.1";"27.11.25 - Изм.1 - эл. версия - СВ
30.03.26 - Изм.1 - эл.версия - ГК ЩИТ"
13;Конструкции железобетонные. Колонны. Изделия;65-ХСА-1/24;13;КЖ.И;4;A;65-ХСА-1/24-КЖ4.И-А;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия
Изм.1 - КРП выдал 30.05.25";02.06.25 - Изм.1;"17.10.25 - бум.версия - ЖилСтройСити
28.01.26 - Изм.1 - бум.версия - СтальКонкрит"
14;Конструкции железобетонные. Полы. Отбойники.;65-ХСА-1/24;14;КЖ;5;A;65-ХСА-1/24-КЖ5-А;;;;;;;;;;;;;;30.04.2025;;принят;;;"КРП выдал 24.06.25
Изм.1 - КРП выдал 06.11.25";06.11.25 - Изм.1;"28.07.25 - эл.версия - Пакс-Механизация
27.11.25 - Изм.1 - эл. версия - СВ
30.03.26 - Изм.1 - эл.версия - ГК ЩИТ"
15;Конструкции железобетонные. Плиты перекрытий;65-ХСА-1/24;15;КЖ;6;A;65-ХСА-1/24-КЖ6-А;;;;;;;;;;;;;;30.04.2025;;принят;;;"КРП выдал 24.06.25
Изм.1 - КРП выдал 18.08.25
Изм.2 - КРП выдал 29.04.26";"11.07.25
Изм.1 - 18.08.25
Изм.2 - 29.04.26";"27.11.25 - Изм.1 - эл. версия - СВ
30.03.26 - Изм.1 - эл.версия - ГК ЩИТ
29.04.26 - эл.версия ГК ЩИТ"
16;Конструкции металлические. Покрытие;65-ХСА-1/24;16;КМ;1;A;65-ХСА-1/24-КМ1-А;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"15.04.25 выдана версия для ВОРов
КРП выдал 02.06.25";02.06.2025;"27.11.25 - эл. версия - СВ
30.03.26 - эл.версия - ГК ЩИТ"
17;Конструкции металлические. Конструкции АБК;65-ХСА-1/24;17;КМ;2;A;65-ХСА-1/24-КМ2-А;;;;;;;;;;;;;;30.04.2025;Загружен, возвращен на доработку (загружена старая версия);принят;;;"15.04.25 выдана версия для ВОРов
КРП выдал 02.06.25
Изм.1-2 - КРП выдал 18.08.25
Изм.3 - КРП выдал 06.10.25
Изм.4 - КРП выдал 19.12.25
Изм.5 - КРП выдал 05.03.26
Изм.6 - КРП выдал 18.03.26";"18.08.25 - Изм.1-2
08.10.25 - Изм.3
19.12.25 - Изм.4
18.03.26 - Изм.6";"27.11.25 - Изм.3 - эл. версия - СВ
19.12.25 - Изм.4 - эл.версия - Армикон 
19.12.25 - Изм.4 - эл.версия - СВ
30.03.26 - Изм.6 - эл.версия - ГК ЩИТ"
18;Конструкции металлические. Наружный фахверк;65-ХСА-1/24;18;КМ;3;A;65-ХСА-1/24-КМ3-А;;;;;;;;;;;;;;30.04.2025;Загружен, принят;принят;;;"15.04.25 выдана версия для ВОРов
КРП выдал 02.06.25
КРП выдал 15.06.25
КРП выдал 18.06.25
Изм. 1 - КРП выдал 20.10.25
Изм.2 - КРП выдал 22.01.26
Изм.3 - КРП выдал 11.04.26";"20.06.25
21.10.25 - Изм.1
22.01.26 - Изм.2
13.04.26 - Изм.3";"27.11.25 - Изм.1 - эл. версия - СВ
22.01.26 - Изм.2 - эл.версия - Армикон
22.01.26 - Изм.2 - эл. версия - СВ
30.03.26 - Изм.2 - эл.версия - ГК ЩИТ
13.04.26 - Изм.3 - эл.версия - Армикон
13.04.26 - Изм.3 - эл.версия - ГК ЩИТ"
19;Конструкции металлические. Внутренний фахверк;65-ХСА-1/24;19;КМ;4;A;65-ХСА-1/24-КМ4-А;;;;;;;;;;;;;;30.04.2025;Загружен, старая версия;принят;;;"15.04.25 выдана версия для ВОРов
КРП выдал 02.06.25
Изм.1 - КРП выдал 01.10.25";"06.06.25
02.10.25 - Изм.1";"27.11.25 - Изм.1 - эл. версия - СВ
30.03.26 - Изм.1 - эл.версия - ГК ЩИТ"
20;Конструкции металлические. Наружные лестницы;65-ХСА-1/24;20;КМ;5;A;65-ХСА-1/24-КМ5-А;;;;;;;;;;;;;;30.04.2025;Загружен, старая версия;принят;;;"15.04.25 выдана версия для ВОРов
КРП выдал 02.06.25
КРП выдал 05.06.25
Изм.1 - КРП выдал 03.07.25
Изм.2 - КРП выдал 06.08.25
Изм.3 - КРП выдал 22.09.25
Изм.4 - КРП выдал 22.10.25
Изм.5 - КРП выдал 06.11.25";"03.06.25
05.06.25
03.07.25 - Изм.1
07.08.25 - Изм.2
22.09.25 - Изм.3
28.10.25 - Изм.4
06.11.25 - Изм.5";"27.11.25 - Изм.5 - эл. версия - СВ
30.03.26 - Изм.5 - эл.версия - ГК ЩИТ"
21;Электрическое освещение и электрооборудование;65-ХСА-1/24;24;ЭОМ;;A;65-ХСА-1/24-ЭОМ-А;;;;;;;;;;Приемка РД и выдача замечаний;Отработка замечаний и выдача РД после устранения;Повторная приемка;Окончательная выдача;31.05.2025;Загружен, возвращен на доработку (загружена старая версия);не принят;"Согласно распоряжению №15-Ленинский от 03.03.26 скорректировать выделяемую мощность в бокс №14

В спецификации указать RAL всех наружных светильников
колличество светильников Maytony Brick (10/20 Вт) должно быть по 28 шт (указано по 14 шт)";;"КРП выдал 18.06.25
КРП выдал 07.07.25
КРП выдал 08.09.25
Изм.1 - КРП выдал 02.03.26
Изм.2 - КРП выдал 22.04.26";"07.07.25
07.11.25";
22;Внутренние системы водоснабжения и канализации;65-ХСА-1/24;25;ВК;;A;65-ХСА-1/24-ВК-А;;;;;;;;;;;;;;31.05.2025;Загружен, возвращен на доработку;не принят;"добавить лист изменений на изм.
лист 5 в спецификации элементов водомерного узла указана опора марки ОП-2, на последнем листе раздела указана опора ОП-1";;"КРП выдал 27.06.25
Изм.1 - КРП выдал 02.03.26
Изм.1 - КРП выдал 12.03.26
Изм.1 - КРП выдал 20.03.26
Изм.2 - КРП выдал 28.04.26";;"27.11.25 - эл. версия - СВ
30.03.26 - Изм.1 - эл.версия - ГК ЩИТ"
23;Автоматическая установка пожаротушения;65-ХСА-1/24;29;АПТ;;A;65-ХСА-1/24-АУПТ-А;;;;;;;;;;;;;;31.05.2025;Загружен, принят;принят;;;"КРП выдал 18.06.25
Изм.1 - КРП выдал 02.03.26";"01.08.25
30.03.26 - Изм.1";
24;Отопление, вентиляция и кондиционирование;65-ХСА-1/24;26;ОВ;;A;65-ХСА-1/24-ОВ-А;;;;;;;;;;;;;;31.05.2025;Загружен, возвращен на доработку;принят;;05.05.2026;"КРП выдал 27.06.25
КРП выдал 12.03.26
Изм.1 - КРП выдал 20.03.26";03.04.26 - изм.1;
25;Пожарная сигнализация;65-ХСА-1/24;27;ПС;;A;65-ХСА-1/24-ПС-А;;;;;;;;;;;;;;31.05.2025;Загружен, принят;на рассмотрении;"По распоряжению №68-LI от 19.03.26г.:
 1.  Для  локального  контроля  и  оперативного  управления  подсистемами 
резидентов предусмотреть проектом комплектацию шкафов пожарной сигнализации 
(ШПС), блоком световой и звуковой индикации состояния разделов типа С2000-бки с 
возможностью ограничения доступа к органам управления при помощи встроенного 
считывателя ключей. Touch Memory.  
2. Размещения шкафов пожарной сигнализации (ШПС) в боксах резидентов 
выполнить в производственно-складских помещениях. Место размещения определить 
проектом.  Решение  подлежит  дополнительному  согласованию  с  проектно-
инвестиционной группой заказчика. ";;"КРП выдал 24.06.25
Изм.1 - КРП выдал 25.02.26
Изм.2 - КРП выдал 15.04.26";"04.08.25
23.03.26 - Изм.1";
26;Автоматизация комплексная;65-ХСА-1/24;28;АК;;A;65-ХСА-1/24-АК-А;;;;;;;;;;;;;;31.05.2025;Загружен, возвращен на доработку;не принят;"лист 6 исправить экспликацию помещений

оформить изм";30.05.2026;"КРП выдал 01.08.25
КРП выдал 08.09.25
КРП выдал 10.12.25";"07.08.25
11.12.25";
27;Огнестойкость металлических конструкций;65-ХСА-1/24;45;ОГН;;A;Огнестойкость МК;;;;;;;;;;;;;;31.05.2025;Загружен, возвращен на доработку;принят;;;"КРП выдал 27.06.25
Изм.1 - КРП выдал 15.01.26";"10.07.2025
16.01.26 - Изм.1";23.03.26 - Изм.1 - эл. версия - ОРИЕНТИР
;Блок B;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Общие архитектурные решения;65-ХСА-1/24;2;АС;1;B;65-ХСА-1/24-АС1-В;;;;;;;;Приемка РД и выдача замечаний;Отработка замечаний и выдача РД после устранения;Повторная приемка;Окончательная выдача;;;30.04.2025;Загружен, возвращен на доработку;не принят;"Согласно распоряжения №55 LI от 20.08.25 добавить витражи на фасады Base

По распоряжению №60 от 10.12.25:
Надпись номера помещения (бокса) на фасадной части:
Материал надписи - аллюминиевая композитная панель (RAL 7004);
Надпись с контурной подсветкой (свет теплый);
Высота надписи - 1500 мм;
Тип применяемого шрифта - ""DIN Pro Cond Medium"".

Надпись на фасаде здания ""INDUSTRIAL CITY""(при наличии):
Материал надписи - аллюминиевая композитная панель (RAL 7004);
Надпись с контурной подсветкой (свет теплый);
Высота надписи - 1000 мм;
Тип применяемого шрифта - ""DIN Pro Cond Medium"".

Надпись на фасаде здания ""BLOCK"":
Материал надписи - аллюминиевая композитная панель (RAL 7004);
Надпись с контурной подсветкой (свет теплый);
Высота надписи - 1000 мм;
Тип применяемого шрифта - ""DIN Pro Cond Medium"".

Для всех форматов LI предусмотреть световые знаки с названием улицы, строения, номера строения на боковых фасадах, ориентированных на основные проезды и внешние улично-дорожные сети, с подключением к сети электроснабжения (световой знак с названием улицы и нумерацией ГОСТ 180 (5 мм)/D44. Передняя панель - акрил + полноцветная печать на пленке ORACAL. Торец. задняя часть - ПВХ. Комплектация: светодиодная подсветка 24W, 6400 К, 152 см, 230V Ширина полосы 3,5 см (с подсветкой))

по распоряжению №13-Ленинский от 22.01.26г. откорректировать сэнвич панели на Югстрой-Авто

по Распоряжению №63-Li от 27.01.26г. предусмотреть окраску Ж/Б цокольных панелей и Ж/б колонн фасадной матовой краской Linnimax Silkon Super Fassade, (или аналог по согласованию с Заказчиком). Цвет RAL 7035 светло серый под бетон;

По распоряжению 04-ДП от 23.03.26г. предусмотреть:
Основная отделка стен предусмотрена СМЛ панелями высотой 3м (Панель - поталь титан (панели монтируются в 1 слой));
Декоративная отделка стен предусмотрена реечными стеновыми панелями (Панель ""WINAL"" лист HPL пластик Металлик LM-1003 со скрытым креплением);
Применить вертикальный стыковочный профиль высотой 3 м;
Применить плинтус цветпо RAL 7024 WNL 100х13
Участки стен выше 3 м -""лобик"", предусмотреть в вариантах из СМЛ панелей или ГКЛ в цвет потолочных конструкций";назначение срока после согласования решений по СМЛ-панелям (новых дизайн-проект);КРП выдал 27.06.25;;
2;Стеновые и кровельные ограждающие конструкции;65-ХСА-1/24;3;АС;2;B;65-ХСА-1/24-АС2-В;;;;;;;;;;;;;;30.04.2025;Загружен, возвращен на доработку;не принят;"по распоряжению №47к-Li от 13.10.25г. Скорректировать логитип на кровле из ПВХ-мембраны тезнониколь 1,5 мм RAL 3016

Согласно распоряжения №55 LI от 20.08.25 добавить витражи на фасады Base

согласно распоряжения согласно распоряжения №53к-Li от 06.02.26:
1.остекление входных групп выполнить двухкамерными стеклопакетами (СПД4Т/Gray-12-4-12-4), стекло тонированное Planibel Grey;
2.Остекление дверного блока выполнить однокамерными стеклопакетами по формуле СПД4Т/Grey-20-4, стекло тонированное Planibel Grey;
3.Дверное полотно каждого из боксов оборудовать:
3.1. Доводчиком с ограничением открывания полотна типа TS, производителя ?DORMA? со скользящей тягой, или аналог;
3.2. Врезным механическим замком серии 920 производителя ?DORMA?, или аналог с защелкой и штифтовым механизмом, который предусматривается для запирания входной двери в том числе вне рабочего времени;
3.3. Цилиндр врезного замка типа ключ ? вертушка серии CBR-1 PRO производителя ?DORMA?, или аналог с накладками из нержавеющей стали с наружной стороны;
3.4. Наружной ручкой типа скоба из нержавеющей стали высоту которой принять по формуле: высота дверного блока -500 мм. Ручку причинять производителя ?FUARO?, марки PULL.PH32/*.45 INOX 304, или аналог конструкцией которой должна предусматривать собой нормальный доступ к цилиндру механического врезного замка. Размещение ручки выполнить по центру дверного полотна;
3.5. Внутренняя фалевая ручка типа модели Pure 8100 / 6621 / 6679 производителя, производителя ?DORMA?;
3.6. Электромеханической защелкой производителя Soca SL-350B или аналог, которая предусматривается в качестве ответной планки защелке врезного механического замка;
3.7. Упор дверной из нержавеющей стали с резиновым кольцом;
3.8. Комплектом локальной системы контроля и управления доступом (СКУД) в соответствии с требованиями пункта ? Система контроля и управления доступом (СКУД) АББ резидентов, указанный в типовых технических заданиях.
4. Проход в боксы резидентов выполняется путем управления защелкой Soca SL-350B. Подача сигнала ?ОТКРЫТЬ? для которой формируется на наружной панели видеодомофона с помощью ключом-картой или кнопкой ?Открыть? с основной панели видеодомофона, расположенной внутри бокса.
5. Выход из бокса осуществляется путем управления механической защелкой с помощью нажимной фалевой ручки типа ?Антипаника?.

по распоряжению №13-Ленинский от 22.01.26г. откорректировать сэнвич панели на Югстрой-Авто";после согласования узлов и фасонок;"КРП выдал 03.06.25
КРП выдал 27.06.25";;19.01.26 - эл. Версия - ПаксМеханизация
3;Внутренние перегородки из сэндвич-панелей;65-ХСА-1/24;4;АС;3;B;65-ХСА-1/24-АС3-В;;;;;;;;;;;;;;30.04.2025;Загружен, принят;не принят;по распоряжению №13-Ленинский от 22.01.26г. откорректировать сэнвич панели на Югстрой-Авто;после АС2;КРП выдал 27.06.25;07.11.2025;19.01.26 - эл. Версия - ПаксМеханизация
4;Конструктивные решения пристроек;65-ХСА-1/24;47;АС;4;B;65-ХСА-1/24-АС4-В;;;;;;;;;;;;;;30.04.2025;Загружен, вышел новый изм;принят;;;"КРП выдал 24.06.25
Изм.1 - КРП выдал 12.11.25
Изм.2 - КРП выдал 06.02.26
Изм.3 - КРП выдал 24.04.26";"03.07.25
14.11.25 - Изм.1
06.02.26 - Изм.2
29.04.26 - Изм.3";"19.01.26 - эл. Версия - Изм.1 - ПаксМеханизация
06.02.26 - Изм.2 - эл.версия - Армикон
06.02.26 - Изм.2 - эл.версия - ПаксМеханизация
29.04.26 - Изм.3 - эл.версия - ПаксМеханизация"
5;Архитектурно-строительные решения пристроек;65-ХСА-1/24;5;АС;5;B;65-ХСА-1/24-АС5-В;;;;;;;;;;;;;;30.04.2025;Загружен, принят;не принят;"по распоряжению №13-Ленинский от 22.01.26г. откорректировать сэнвич панели на Югстрой-Авто
по распоряжению №62-Li от 26.01.26г. Предусмотреть индивидуальные дверные блоки в технические помещения заводского изготовления вместе с вентиляционной решёткой единым изделием. Высоту вентиляционных решеток принять одинаковой высоты для всех дверей, но не более 600 мм. В помещениях силовых трансформаторов предусмотреть вентиляционные отверстия в нижней части дверей для притока воздуха и в верхней части фрамуги для его удаления. Верх окон и дверей с решётками на фасаде предусмореть в одном уровне. Цвет дверей RAL 7016, фасонных элементов RAL 7024.";после согласования узлов и фасонок;"КРП выдал 06.06.25
КРП выдал 27.06.25";12.08.2025;
6;Конструкции железобетонные. Фундаменты;65-ХСА-1/24;6;КЖ;1;B;65-ХСА-1/24-КЖ1-В;;;;;;;;;;;;;;30.04.2025;Загружен, вышел новый изм;принят;;;"07.04.25 выдана версия для ВОРов
07.05.25 выдана итоговая версия
Изм.1 - КРП выдал 19.11.25";"15.05.2025
20.11.25 - Изм.1";"06.10.25 - бум. версия - ООО ?СвайСпецСтрой-Р?
19.01.26 - эл. Версия - Изм.1 - ПаксМеханизация"
